Provincia,Año,Trimestre,Accesos telefonía fija (total),Variacion Trimestral,'Accesos telefonía fija (total)'
Buenos Aires,2021,3,-4.49246537513166,-4.49246537513166,3164518
Buenos Aires,2021,4,4.703781112953065,4.703781112953065,3313370
Buenos Aires,2022,1,0.8250512318274117,0.8250512318274117,3340707
Capital Federal,2014,1,,,1604914
Capital Federal,2014,2,-0.15134767345789113,-0.15134767345789113,1602485
Capital Federal,2014,3,0.28686695975312926,0.28686695975312926,1607082
Capital Federal,2014,4,0.5035212888950369,0.5035212888950369,1615174
Capital Federal,2015,1,1.1736196843188385,1.1736196843188385,1634130
Capital Federal,2015,2,1.255714049677814,1.255714049677814,1654650
Capital Federal,2015,3,-1.6471761399691753,-1.6471761399691753,1627395
Capital Federal,2015,4,-3.3780366782495963,-3.3780366782495963,1572421
Capital Federal,2016,1,2.313566150541102,2.313566150541102,1608800
Capital Federal,2016,2,-1.777784684236694,-1.777784684236694,1580199
Capital Federal,2016,3,1.5729031596653398,1.5729031596653398,1605054
Capital Federal,2016,4,0.8227760561327013,0.8227760561327013,1618260
Capital Federal,2017,1,-0.5845784978927959,-0.5845784978927959,1608800
Capital Federal,2017,2,-1.777784684236694,-1.777784684236694,1580199
Capital Federal,2017,3,1.5729031596653398,1.5729031596653398,1605054
Capital Federal,2017,4,0.8227760561327013,0.8227760561327013,1618260
Capital Federal,2018,1,7.03434553162039,7.03434553162039,1732094
Capital Federal,2018,2,0.6195391243200454,0.6195391243200454,1742825
Capital Federal,2018,3,1.876780514394727,1.876780514394727,1775534
Capital Federal,2018,4,-1.2485821167040445,-1.2485821167040445,1753365
Capital Federal,2019,1,-8.75841596016802,-8.75841596016802,1599798
Capital Federal,2019,2,-7.558891810091028,-7.558891810091028,1478871
Capital Federal,2019,3,1.2526447540049057,1.2526447540049057,1497396
Capital Federal,2019,4,-1.2371476883870414,-1.2371476883870414,1478871
Capital Federal,2020,1,-1.5332642265620144,-1.5332642265620144,1456196
Capital Federal,2020,2,-2.2190694109858855,-2.2190694109858855,1423882
