Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
Chaco,2017,3,29.98,3.201376936316702
Chaco,2017,4,30.81,2.7685123415610358
Chaco,2018,1,30.83,0.06491398896462108
Chaco,2018,2,31.25,1.3623094388582668
Chaco,2018,3,32.28,3.29600000000001
Chaco,2018,4,32.59,0.9603469640644402
Chaco,2019,1,32.64,0.15342129487572187
Chaco,2019,2,34.14,4.595588235294112
Chaco,2019,3,35.85,5.008787346221433
Chaco,2019,4,36.84,2.761506276150638
Chaco,2020,1,37.48,1.7372421281215855
Chaco,2020,2,39.83,6.270010672358595
Chaco,2020,3,41.54,4.293246296761244
Chaco,2020,4,43.03,3.5869041887337527
Chaco,2021,1,43.14,0.25563560306762767
Chaco,2021,2,43.33,0.4404265183124645
Chaco,2021,3,42.96,-0.8539118393722567
Chaco,2021,4,44.05,2.5372439478584585
Chaco,2022,1,44.06,0.022701475595932052
Chubut,2014,1,41.24,
Chubut,2014,2,41.41,0.41222114451986425
Chubut,2014,3,40.6,-1.9560492634629223
Chubut,2014,4,40.25,-0.8620689655172487
Chubut,2015,1,37.61,-6.5590062111801295
Chubut,2015,2,36.58,-2.7386333421962283
Chubut,2015,3,36.81,0.6287588846364267
Chubut,2015,4,36.89,0.21733224667208617
Chubut,2016,1,36.09,-2.168609379235553
Chubut,2016,2,36.12,0.08312551953448821
Chubut,2016,3,36.18,0.16611295681063787
Chubut,2016,4,36.07,-0.3040353786622374
Chubut,2017,1,35.66,-1.1366786803437834
Chubut,2017,2,35.55,-0.3084688726864848
Chubut,2017,3,46.22,30.01406469760901
Chubut,2017,4,51.46,11.337083513630475
Chubut,2018,1,53.72,4.391760590750082
Chubut,2018,2,54.9,2.196574832464626
Chubut,2018,3,56.39,2.714025500910755
Chubut,2018,4,42.61,-24.43695690725306
Chubut,2019,1,43.0,0.9152781037315094
Chubut,2019,2,46.99,9.279069767441861
Chubut,2019,3,47.57,1.2343051713130437
Chubut,2019,4,51.15,7.525751524069779
Chubut,2020,1,51.27,0.23460410557185618
Chubut,2020,2,57.34,11.839282231324354
Chubut,2020,3,68.34,19.18381583536799
Chubut,2020,4,68.35,0.014632718759122199
Chubut,2021,1,68.99,0.9363569861009502
Chubut,2021,2,72.29,4.783301927815642
Chubut,2021,3,80.71,11.647530778807557
Chubut,2021,4,82.57,2.3045471440961363
Chubut,2022,1,88.05,6.636793024100762
Corrientes,2014,1,22.32,
Corrientes,2014,2,22.58,1.1648745519713177
Corrientes,2014,3,22.79,0.9300265721877699
Corrientes,2014,4,23.56,3.378674857393582
Corrientes,2015,1,28.95,22.87775891341257
Corrientes,2015,2,29.58,2.1761658031087983
Corrientes,2015,3,30.17,1.9945909398242145
Corrientes,2015,4,30.34,0.5634736493205006
Corrientes,2016,1,30.08,-0.856954515491104
Corrientes,2016,2,30.58,1.66223404255319
Corrientes,2016,3,31.07,1.602354480052326
Corrientes,2016,4,30.98,-0.2896684905053126
Corrientes,2017,1,30.94,-0.12911555842478606
Corrientes,2017,2,31.39,1.4544279250161551
Corrientes,2017,3,32.17,2.484867792290535
Corrientes,2017,4,32.52,1.0879701585327917
Corrientes,2018,1,32.66,0.4305043050430335
Corrientes,2018,2,33.81,3.521126760563398
Corrientes,2018,3,34.25,1.3013901212658885
Corrientes,2018,4,34.57,0.9343065693430574
Corrientes,2019,1,35.13,1.6199016488284812
Corrientes,2019,2,38.16,8.625106746370603
Corrientes,2019,3,38.49,0.8647798742138502
Corrientes,2019,4,38.77,0.7274616783580212
Corrientes,2020,1,38.73,-0.10317255610009513
Corrientes,2020,2,40.3,4.05370513813581
Corrientes,2020,3,41.75,3.5980148883374863
Corrientes,2020,4,42.43,1.6287425149700496
Corrientes,2021,1,42.66,0.5420692905962587
Corrientes,2021,2,43.54,2.0628223159868897
Corrientes,2021,3,44.9,3.123564538355539
Corrientes,2021,4,45.51,1.358574610244978
Corrientes,2022,1,47.64,4.68029004614372
Córdoba,2014,1,52.52,
Córdoba,2014,2,53.45,1.7707539984767706
Córdoba,2014,3,54.23,1.4593077642656604
Córdoba,2014,4,54.7,0.8666789599852676
Córdoba,2015,1,54.7,0.0
Córdoba,2015,2,55.87,2.1389396709323494
Córdoba,2015,3,57.08,2.165741900841245
Córdoba,2015,4,57.36,0.4905395935529189
Córdoba,2016,1,55.28,-3.6262203626220346
Córdoba,2016,2,57.55,4.106367583212722
Córdoba,2016,3,58.24,1.1989574283232107
Córdoba,2016,4,57.7,-0.9271978021977989
Córdoba,2017,1,57.65,-0.08665511265165682
Córdoba,2017,2,58.97,2.289679098005215
Córdoba,2017,3,62.31,5.66389689672715
Córdoba,2017,4,63.33,1.6369764082811766
Córdoba,2018,1,63.52,0.300015790304764
Córdoba,2018,2,63.27,-0.3935768261964734
Córdoba,2018,3,64.24,1.5331120594278325
Córdoba,2018,4,65.09,1.3231631382316422
Córdoba,2019,1,65.52,0.6606237517283731
Córdoba,2019,2,68.07,3.891941391941378
Córdoba,2019,3,68.59,0.7639194946378769
Córdoba,2019,4,70.48,2.755503717743113
Córdoba,2020,1,70.69,0.2979568671963584
Córdoba,2020,2,72.71,2.857547036355923
Córdoba,2020,3,75.22,3.4520698665933214
Córdoba,2020,4,78.08,3.8021802712044694
Córdoba,2021,1,78.59,0.6531762295082011
Córdoba,2021,2,80.12,1.946812571573986
Córdoba,2021,3,81.28,1.4478282576135815
Córdoba,2021,4,84.51,3.9739173228346525
Córdoba,2022,1,85.76,1.4791148976452506
Entre Ríos,2014,1,34.37,
Entre Ríos,2014,2,34.69,0.9310445155658931
Entre Ríos,2014,3,34.98,0.835975785528964
Entre Ríos,2014,4,36.03,3.0017152658662116
Entre Ríos,2015,1,42.07,16.76380793782959
Entre Ríos,2015,2,42.93,2.0442120275731
Entre Ríos,2015,3,43.68,1.7470300489168311
Entre Ríos,2015,4,44.11,0.9844322344322309
Entre Ríos,2016,1,43.85,-0.5894355021537012
Entre Ríos,2016,2,44.74,2.029646522234896
Entre Ríos,2016,3,45.44,1.5645954403218587
Entre Ríos,2016,4,45.21,-0.5061619718309762
Entre Ríos,2017,1,44.91,-0.6635700066357053
Entre Ríos,2017,2,45.39,1.0688042752171167
Entre Ríos,2017,3,45.96,1.2557832121612655
Entre Ríos,2017,4,47.89,4.199303742384686
Entre Ríos,2018,1,48.68,1.64961369805805
Entre Ríos,2018,2,49.2,1.0682004930156141
Entre Ríos,2018,3,50.22,2.073170731707319
Entre Ríos,2018,4,54.37,8.263639984070092
Entre Ríos,2019,1,56.79,4.450983998528613
Entre Ríos,2019,2,57.48,1.2150026413100923
Entre Ríos,2019,3,57.9,0.7306889352818313
Entre Ríos,2019,4,57.99,0.15544041450776813
Entre Ríos,2020,1,56.12,-3.2246939127435814
Entre Ríos,2020,2,56.54,0.7483962936564614
Entre Ríos,2020,3,58.19,2.9182879377431803
Entre Ríos,2020,4,59.47,2.199690668499743
Entre Ríos,2021,1,60.44,1.6310744913401676
Entre Ríos,2021,2,61.66,2.0185307743216363
Entre Ríos,2021,3,62.18,0.8433344145313049
Entre Ríos,2021,4,63.16,1.576069475715669
Entre Ríos,2022,1,63.7,0.8549715009499748
Formosa,2014,1,17.42,
Formosa,2014,2,17.54,0.6888633754305262
Formosa,2014,3,17.77,1.3112884834663552
Formosa,2014,4,17.96,1.0692177827799743
Formosa,2015,1,18.12,0.8908685968819663
Formosa,2015,2,18.36,1.3245033112582627
Formosa,2015,3,18.84,2.614379084967333
Formosa,2015,4,19.07,1.220806794055207
Formosa,2016,1,19.04,-0.1573151546932383
Formosa,2016,2,19.37,1.7331932773109404
Formosa,2016,3,18.64,-3.7687145069695394
Formosa,2016,4,19.85,6.491416309012887
Formosa,2017,1,19.84,-0.05037783375315685
Formosa,2017,2,19.97,0.6552419354838745
Formosa,2017,3,21.35,6.910365548322495
Formosa,2017,4,21.27,-0.37470725995316645
Formosa,2018,1,21.4,0.611189468735307
Formosa,2018,2,29.43,37.523364485981325
Formosa,2018,3,29.58,0.5096839959225274
Formosa,2018,4,29.74,0.5409060175794567
Formosa,2019,1,29.68,-0.20174848688634395
Formosa,2019,2,30.42,2.4932614555256194
Formosa,2019,3,30.11,-1.019066403681801
Formosa,2019,4,30.47,1.1956160743938904
Formosa,2020,1,30.23,-0.7876599934361628
Formosa,2020,2,31.14,3.010254713860405
Formosa,2020,3,31.91,2.4727039177906196
Formosa,2020,4,32.49,1.8176120338452062
Formosa,2021,1,32.73,0.7386888273314796
Formosa,2021,2,33.23,1.52765047357164
Formosa,2021,3,33.96,2.196810111345182
Formosa,2021,4,34.45,1.4428739693757464
Formosa,2022,1,34.96,1.4804063860667682
Jujuy,2014,1,18.42,
Jujuy,2014,2,18.71,1.574375678610207
Jujuy,2014,3,18.37,-1.8172100481026132
Jujuy,2014,4,19.6,6.695699510070763
Jujuy,2015,1,19.69,0.4591836734693766
Jujuy,2015,2,20.29,3.0472320975114098
Jujuy,2015,3,21.27,4.829965500246436
Jujuy,2015,4,21.47,0.9402914903620108
Jujuy,2016,1,21.41,-0.2794597112249608
Jujuy,2016,2,21.89,2.2419430172816446
Jujuy,2016,3,22.61,3.2891731384193656
Jujuy,2016,4,22.65,0.17691287041132764
Jujuy,2017,1,22.76,0.4856512141280467
